,card,reports,age,income,expenditure,owner,selfemp,dependents,months,majorcards,active,target
80,0,0,32.75,4.0,0.0,0,0,2,25,1,0.0,0.0
81,1,0,54.58333,2.64,65.24667,1,0,1,78,1,19.0,1.0
82,1,0,19.58333,1.65,108.6075,0,0,0,37,1,8.0,1.0
83,1,0,29.33333,2.4,49.55583,0,0,0,30,1,4.0,1.0
84,0,0,40.16667,3.7099,0.0,0,0,2,15,1,11.0,0.0
85,1,0,40.75,6.634375,235.5717,1,0,2,162,1,13.0,1.0
86,0,0,41.25,4.386,0.0,1,0,3,162,1,9.0,0.0
87,0,0,34.5,3.3,0.0,1,0,2,33,1,18.0,0.0
88,0,0,23.66667,2.304,0.0,0,0,1,12,1,0.0,0.0
89,0,0,53.66667,4.18,0.0,0,0,1,162,1,2.0,0.0
90,0,0,34.0,2.4875,0.0,0,0,1,87,1,3.0,0.0
91,0,0,44.91667,2.8055,0.0,1,0,5,4,1,0.0,0.0
92,1,0,43.41667,2.4,68.38417,0,0,0,12,1,0.0,1.0
93,0,0,35.16667,1.5,0.0,0,0,1,7,1,9.0,0.0
94,0,0,35.83333,6.634375,0.0,0,0,2,69,1,12.0,0.0
95,1,0,21.66667,1.56,0.0,0,0,0,12,1,2.0,1.0
96,1,0,32.66667,6.0,474.15,1,0,0,48,1,6.0,0.0
97,1,0,25.41667,3.6,234.0483,0,0,2,12,1,4.0,1.0
98,1,0,26.25,5.0,451.205,1,0,0,5,1,16.0,0.0
99,1,0,46.0,5.5,251.5208,1,0,2,161,1,7.0,1.0
100,1,0,35.0,6.634375,615.7145005,1,0,0,72,1,24.5,0.0
101,0,0,35.0,4.55,0.0,1,0,3,36,1,15.0,0.0
102,0,0,20.91667,2.9,0.0,0,0,0,36,1,3.0,0.0
103,1,0,25.16667,1.8,147.7233,0,0,0,1,1,9.0,0.0
104,1,0,31.25,4.2,166.7267,1,0,0,53,1,0.0,1.0
105,1,0,23.16667,3.92,615.7145005,0,0,0,16,1,0.0,0.0
106,1,0,23.0,3.625,106.1692,0,0,1,51,1,6.0,1.0
107,1,0,24.83333,2.48,271.4675,0,0,0,18,1,0.0,0.0
108,1,0,40.91667,6.634375,615.7145005,1,0,3,120,1,17.0,1.0
109,1,0,43.66667,6.634375,182.825,1,0,1,12,1,18.0,1.0
110,1,0,23.08333,2.95,89.37083,1,0,0,12,1,17.0,1.0
111,1,0,41.91667,5.0,615.7145005,0,0,1,36,1,5.0,0.0
112,1,0,28.16667,2.4,227.3683,0,0,0,1,1,24.5,0.0
113,1,0,45.58333,6.634375,115.4167,1,0,2,126,1,9.0,1.0
114,0,0,25.91667,4.0,0.0,0,0,0,36,1,5.0,0.0
115,1,0,37.33333,3.9,297.9717,0,0,0,51,1,4.0,0.0
116,1,0,37.66667,2.0,101.2625,1,0,3,42,1,3.0,1.0
117,1,0,30.25,2.15,56.69417,0,0,0,12,1,4.0,1.0
118,1,0,21.25,3.0,77.35667,0,0,2,18,1,2.0,1.0
119,1,0,40.08333,4.3,122.515,0,0,0,108,1,4.0,1.0
120,0,0,23.41667,6.634375,0.0,0,0,2,27,1,5.0,0.0
121,1,0,21.83333,2.5,13.4025,0,0,0,32,1,3.0,1.0
122,1,0,22.16667,3.0,127.5342,0,0,0,120,1,11.0,1.0
123,1,0,40.83333,2.6,8.333333,1,0,0,52,1,3.0,1.0
124,1,0,18.66667,1.66,78.42834,1,0,0,51,1,2.0,1.0
125,1,0,34.33333,4.5,11.16667,1,1,4,30,1,6.0,1.0
126,1,0,25.08333,5.0,131.8783,0,0,0,38,1,16.0,1.0
127,1,0,20.08333,1.74,277.9892,0,0,0,8,1,11.0,0.0
128,1,0,24.75,1.875,126.0225,0,0,1,14,1,1.0,1.0
129,1,0,41.91667,3.0,238.8558,1,0,3,120,1,0.0,0.0
130,0,0,31.08333,4.2,0.0,0,0,3,52,1,19.0,0.0
131,0,0,53.33333,4.9,0.0,1,1,0,108,1,1.0,0.0
132,1,0,24.25,2.13,37.08333,0,0,1,13,1,4.0,1.0
133,0,0,25.41667,1.7,0.0,0,0,2,8,1,11.0,0.0
134,1,0,21.83333,1.68,156.5833,0,0,0,18,1,2.0,0.0
135,0,0,20.58333,2.64,0.0,0,0,3,7,1,1.0,0.0
136,1,0,18.41667,1.968,9.753333,0,0,0,114,1,2.0,1.0
137,1,0,22.0,3.3,108.3967,0,0,0,6,1,8.0,1.0
138,1,0,21.41667,1.5896,271.5533,0,0,0,162,1,16.0,0.0
139,1,0,42.0,3.6,53.30167,0,1,0,41,1,14.0,1.0
140,1,0,36.41667,3.0,282.5633,0,0,2,16,1,6.0,0.0
141,1,0,41.5,3.8,263.3275,0,0,0,67,1,4.0,1.0
142,1,0,26.5,3.36,6.5175,0,0,0,12,1,4.0,1.0
143,0,0,33.16667,2.3204,0.0,0,0,0,62,1,3.0,0.0
144,1,0,43.08333,6.634375,43.03917,1,0,0,60,1,2.0,1.0
145,1,0,30.33333,2.5,73.7975,1,1,3,30,1,9.0,1.0
146,1,0,25.08333,1.5,15.41667,0,0,1,12,1,7.0,1.0
147,1,0,35.66667,3.5822,313.3525,1,0,1,84,1,10.0,0.0
148,1,0,44.5,4.0,59.19417,1,0,0,36,1,13.0,1.0
149,1,0,43.25,6.634375,175.9975,1,0,3,30,1,24.5,1.0
150,1,0,50.0,4.3,129.3933,1,1,1,162,1,15.0,1.0
151,1,0,31.75,3.5,30.36917,1,0,1,36,1,5.0,1.0
152,0,0,43.25,3.95,0.0,1,0,2,27,1,4.0,0.0
153,0,0,27.16667,4.0,0.0,1,0,0,37,1,7.0,0.0
154,1,0,24.91667,2.4,461.26,0,0,1,162,1,1.0,0.0
155,1,0,49.66667,2.7,199.7333,1,0,0,120,1,3.0,0.0
156,1,0,28.33333,6.6,38.71416,0,0,2,55,1,7.0,1.0
157,1,0,26.5,2.7,92.26334,0,0,0,18,1,0.0,1.0
158,1,0,29.41667,4.1,145.3792,0,0,0,13,1,0.0,1.0
159,1,0,60.41667000000001,6.634375,400.9117,1,0,1,24,1,9.0,1.0
160,1,0,24.5,2.8,138.7133,0,0,0,5,1,0.0,1.0
161,1,0,25.08333,3.12,110.3033,0,0,2,3,1,6.0,1.0
162,1,0,24.91667,2.3,54.64667,0,0,0,30,1,2.0,1.0
163,1,0,30.08333,3.67,4.583333,1,0,0,57,1,3.0,1.0
164,0,0,32.58333,6.5,0.0,1,0,0,50,1,6.0,0.0
165,1,0,23.08333,2.56,320.5167,0,0,1,11,1,2.0,0.0
166,1,0,48.91667,3.5,197.9233,1,0,0,48,1,9.0,1.0
167,1,0,25.33333,3.24,68.87083,0,0,0,30,1,19.0,1.0
168,1,0,25.33333,3.48,148.26,1,0,0,14,1,5.0,1.0
169,1,0,24.91667,2.938,68.53333,0,0,0,14,1,0.0,1.0
170,0,0,29.16667,2.475,0.0,0,0,1,12,1,5.0,0.0
171,0,0,28.58333,3.12,0.0,0,0,0,13,1,7.0,0.0
172,0,0,32.33333,2.5,0.0,0,0,1,60,1,0.0,0.0
173,1,0,26.5,3.0,121.5558,1,0,0,12,1,4.0,1.0
174,1,0,34.33333,6.0,86.22667,1,0,1,48,1,5.0,1.0
175,1,0,28.41667,2.6,105.095,1,0,0,27,1,6.0,1.0
176,1,0,23.58333,3.9,58.99083,0,0,1,14,1,7.0,1.0
177,0,0,30.83333,2.5,0.0,0,0,0,18,1,6.0,0.0
178,0,0,34.66667,3.3,0.0,0,0,3,48,1,3.0,0.0
179,1,0,31.5,5.905,123.8917,0,0,1,12,1,2.0,1.0
180,1,0,36.16667,6.634375,78.54166,1,0,1,24,1,18.0,1.0
181,0,0,32.41667,2.06,0.0,0,0,0,48,1,8.0,0.0
182,1,0,31.25,5.6965,38.0625,1,1,2,84,1,24.5,1.0
183,1,0,28.08333,2.16,46.14167,0,0,2,7,1,0.0,1.0
184,0,0,41.58333,4.6,0.0,0,0,0,57,1,3.0,0.0
185,1,0,21.75,3.5,265.0142,0,0,2,42,1,9.0,0.0
186,1,0,30.25,2.55,74.72667,1,0,1,11,1,0.0,1.0
187,1,0,43.5,1.7472,107.7642,1,0,0,18,1,2.0,1.0
188,1,0,29.58333,1.95,6.5,1,0,2,96,1,2.0,1.0
189,1,0,33.75,5.0,209.0558,1,0,3,10,1,10.0,1.0
190,1,0,24.16667,2.8896,193.0675,0,0,0,12,1,0.0,1.0
191,1,0,25.41667,2.7,144.3842,1,0,1,17,1,8.0,1.0
192,1,0,24.25,4.0,358.9725,0,0,0,7,1,10.0,0.0
193,1,0,24.08333,2.3,59.1475,0,0,0,12,1,0.0,1.0
194,1,0,32.0,2.4,0.0,0,0,1,11,1,8.0,1.0
195,0,0,46.16667,2.6,0.0,0,0,0,61,1,8.0,0.0
196,1,0,21.91667,2.4,465.195,1,0,1,162,1,4.0,0.0
197,1,0,36.25,2.52,142.2425,0,0,2,53,1,3.0,1.0
198,1,0,23.83333,1.56,501.8025,0,0,0,33,1,1.0,0.0
199,1,0,49.41667,2.4,88.5925,0,1,0,14,1,6.0,1.0
200,1,0,26.08333,2.0,282.8758,0,0,0,2,1,2.0,0.0
201,1,0,29.16667,2.58,361.1617,0,0,0,6,1,12.0,0.0
202,1,0,33.0,3.15,150.1767,0,1,0,128,1,3.0,1.0
203,1,0,29.33333,2.3,76.24416,0,0,2,24,1,5.0,1.0
204,1,0,47.58333,4.65,58.24583,0,0,2,25,1,11.0,1.0
205,1,0,21.58333,3.12,88.23333,0,0,0,56,1,3.0,1.0
206,1,0,30.41667,2.0,7.083333,1,0,3,45,1,14.0,1.0
207,0,0,60.41667000000001,2.55,0.0,0,0,2,20,1,13.0,0.0
208,1,0,21.58333,2.46,289.0442,0,0,1,4,1,11.0,0.0
209,1,0,30.66667,3.8,102.9767,0,0,0,26,1,1.0,1.0
210,1,0,47.75,2.6372,13.91667,1,0,0,4,1,12.0,1.0
211,1,0,39.75,6.634375,615.7145005,1,0,2,30,1,22.0,0.0
212,0,0,53.16667,2.8,0.0,0,0,1,156,1,11.0,0.0
213,0,0,22.83333,3.1475,0.0,0,0,2,19,1,0.0,0.0
214,0,0,24.91667,6.0,0.0,0,0,2,17,1,2.0,0.0
215,1,0,25.16667,3.25,84.275,0,0,0,6,1,17.0,1.0
216,1,0,60.41667000000001,4.32,132.8508,1,0,1,162,1,0.0,1.0
217,1,0,29.16667,2.5,159.595,0,0,0,7,1,21.0,1.0
218,1,0,35.33333,3.0,135.045,0,0,1,6,1,8.0,1.0
219,1,0,26.08333,3.5,250.5208,0,0,0,52,1,2.0,0.0
220,1,0,42.75,4.56,188.6208,0,0,0,144,1,11.0,1.0
221,1,0,27.58333,2.76,23.25,0,0,0,30,1,1.0,1.0
222,1,0,22.5,2.535,214.065,1,0,2,23,1,9.0,0.0
223,0,0,40.91667,3.2388,0.0,0,0,0,50,1,16.0,0.0
224,0,0,35.16667,3.84,0.0,0,0,0,38,1,2.0,0.0
225,1,0,32.83333,1.32,42.63083,0,0,1,6,1,2.0,1.0
226,0,0,25.83333,3.9,0.0,0,0,0,18,1,3.0,0.0
227,0,0,56.91667,2.04,0.0,1,0,0,35,1,11.0,0.0
228,1,0,30.16667,6.634375,474.5,1,0,4,43,1,14.0,1.0
229,1,0,25.08333,6.634375,304.3817,1,0,0,162,1,8.0,1.0
230,1,0,34.58333,3.2604,78.75083,0,0,1,31,1,6.0,1.0
231,1,0,24.66667,1.632,238.3275,0,0,1,4,1,5.0,0.0
232,1,0,40.75,6.634375,311.1425,1,0,2,38,1,0.0,1.0
233,1,0,31.33333,2.2,77.04667,1,0,2,17,1,16.0,1.0
234,1,0,27.83333,5.0,120.4033,1,0,1,24,1,0.0,1.0
235,1,0,30.83333,3.0,156.5725,1,0,2,72,1,8.0,1.0
236,1,0,46.25,2.0,10.58333,1,0,0,76,1,1.0,1.0
237,1,0,20.5,1.54,114.8158,0,0,0,6,1,2.0,0.0
238,0,0,28.0,1.5,0.0,0,0,1,5,1,0.0,0.0
239,1,0,51.66667,3.0,179.7658,1,0,0,121,1,0.0,1.0
240,1,0,41.83333,5.0,615.7145005,1,0,3,84,1,7.0,0.0
241,1,0,51.75,4.7232,84.9025,1,0,1,60,1,0.0,1.0
242,1,0,53.5,1.5,0.0,1,0,0,57,1,6.0,1.0
243,1,0,26.08333,2.3,67.66666,0,0,0,24,1,0.0,1.0
244,1,0,20.5,1.6,111.6925,0,0,0,3,1,0.0,0.0
245,1,0,27.75,2.2,257.3017,0,0,0,3,1,1.0,0.0
246,1,0,23.25,4.32,615.7145005,0,0,2,36,1,11.0,0.0
247,0,0,23.08333,2.6,0.0,0,1,0,37,1,7.0,0.0
248,1,0,20.33333,1.6752,245.3308,0,0,0,10,1,0.0,0.0
249,1,0,60.41667000000001,2.8725,13.33333,1,1,0,38,1,11.0,1.0
250,1,0,24.5,2.6,149.545,0,1,0,21,1,2.0,1.0
251,1,0,33.75,2.9,253.3658,1,0,2,14,1,20.0,0.0
252,1,0,25.08333,2.65,20.47917,0,0,0,12,1,9.0,1.0
253,1,0,26.91667,1.9,41.81667,0,0,0,18,1,9.0,1.0
254,1,0,60.41667000000001,2.95,118.7133,1,0,1,162,1,19.0,1.0
255,1,0,21.58333,3.12,225.4592,0,0,1,10,1,6.0,0.0
256,1,0,35.0,4.1125,101.2008,1,0,1,37,1,23.0,1.0
257,0,0,46.0,6.0,0.0,1,0,2,84,1,24.5,0.0
258,1,0,25.33333,2.0,10.42,0,0,0,24,1,19.0,1.0
259,0,0,35.91667,3.38,0.0,1,0,2,18,1,15.0,0.0
260,1,0,33.66667,3.5,7.166667,0,0,0,12,1,0.0,1.0
261,1,0,30.08333,2.6,12.08333,1,0,4,51,1,16.0,1.0
262,0,0,26.41667,3.5,0.0,0,0,0,14,1,24.5,0.0
263,1,0,24.58333,2.8,146.8625,0,0,0,14,1,11.0,1.0
264,1,0,37.75,5.9,324.6183,1,0,3,28,1,11.0,1.0
265,1,0,46.25,5.4,268.7242,1,0,4,162,1,7.0,1.0
266,1,0,29.5,2.8,249.1658,0,0,0,50,1,3.0,0.0
267,1,0,43.83333,3.9,50.08333,1,0,3,162,1,6.0,1.0
268,1,0,46.91667,3.4,87.63667,0,0,0,42,1,4.0,1.0
269,1,0,21.83333,2.08,203.3667,0,0,0,5,1,0.0,0.0
270,1,0,57.66667,2.5,105.125,1,0,0,24,1,13.0,1.0
271,1,0,23.66667,1.95,50.17833,0,0,0,3,1,4.0,1.0
272,1,0,25.66667,2.1,327.11,0,0,0,15,1,6.0,0.0
273,0,0,30.66667,3.0,0.0,1,0,1,28,1,6.0,0.0
274,1,0,34.83333,3.2,175.1367,1,0,2,25,1,8.0,1.0
275,0,0,37.5,2.6,0.0,0,0,0,40,1,14.0,0.0
276,1,0,40.33333,3.067,408.0825,0,0,2,18,1,0.0,0.0
277,1,0,24.41667,2.8,33.57083,0,0,0,60,1,11.0,1.0
278,1,0,31.25,4.8,404.49,1,0,0,30,1,13.0,0.0
279,0,0,41.16667,4.74,0.0,1,0,0,13,1,0.0,0.0
280,1,0,29.83333,2.8,80.45084,1,0,0,80,1,14.0,1.0
281,1,0,35.91667,4.2,8.333333,1,0,4,59,1,13.0,1.0
282,1,0,42.91667,4.0,240.2775,0,0,2,162,1,9.0,1.0
283,0,0,25.83333,1.65,0.0,0,0,0,36,1,5.0,0.0
284,1,0,34.16667,4.3,88.94667,0,0,1,12,1,2.0,1.0
285,1,0,60.41667000000001,6.4532,0.0,1,0,0,42,1,13.0,1.0
286,1,0,21.91667,3.0,11.00417,0,0,1,18,1,7.0,1.0
287,1,0,21.25,1.75,281.8067,0,0,0,6,1,3.0,0.0
288,0,0,22.33333,1.8,0.0,0,0,0,3,1,6.0,0.0
289,1,0,22.91667,2.15,17.17167,0,0,0,12,1,1.0,1.0
290,0,0,23.83333,6.634375,0.0,0,1,4,6,1,9.0,0.0
291,0,0,26.83333,2.6,0.0,0,0,0,12,1,9.0,0.0
292,1,0,35.83333,2.42,119.625,1,0,0,56,1,10.0,1.0
293,1,0,41.08333,2.8,86.54667,1,0,0,48,1,6.0,1.0
294,1,0,40.75,3.64,94.11833,0,0,1,41,1,1.0,1.0
295,1,0,53.58333,6.634375,615.7145005,1,0,3,120,1,3.0,0.0
296,0,0,20.75,1.95,0.0,0,0,0,14,1,1.0,0.0
297,1,0,34.83333,6.5,615.7145005,1,0,0,12,1,13.0,0.0
298,1,0,32.16667,3.805,26.0,1,0,0,51,1,7.0,1.0
299,1,0,40.75,2.15,227.6017,0,0,1,67,1,16.0,0.0
300,1,0,38.58333,4.0,379.8658,0,0,0,120,1,8.0,0.0
301,1,0,22.41667,3.1,615.7145005,0,0,0,3,1,0.0,0.0
302,0,0,31.0,4.0104,0.0,0,0,0,42,1,0.0,0.0
303,1,0,29.08333,4.58,48.615,0,0,0,50,1,7.0,1.0
304,1,0,33.75,1.8,195.4508,1,0,3,12,1,2.0,0.0
305,0,0,38.0,1.7095,0.0,0,0,2,42,1,2.0,0.0
306,1,0,21.91667,2.2593,122.1917,1,0,0,6,1,0.0,1.0
307,1,0,26.41667,3.5,384.8992,0,0,2,12,1,0.0,0.0
308,1,0,40.33333,6.634375,129.3333,1,0,4,72,1,21.0,1.0
309,1,0,23.75,1.5678,0.0,1,0,1,6,1,0.0,1.0
310,1,0,37.58333,2.9623,4.583333,1,1,1,93,1,13.0,1.0
311,1,0,27.75,2.7,210.6475,0,0,0,9,1,13.0,0.0
312,1,0,21.66667,2.16,198.5483,1,0,0,18,1,7.0,0.0
313,1,0,26.16667,4.0,3.166667,0,0,2,18,1,0.0,1.0
314,0,0,31.75,4.5,0.0,1,0,0,36,1,11.0,0.0
315,0,0,33.75,1.8,0.0,1,0,2,11,1,13.0,0.0
316,1,0,27.33333,2.75,153.7267,0,0,0,6,1,3.0,1.0
317,1,0,39.75,2.42,34.15583,1,0,1,49,1,24.5,1.0
318,0,0,23.25,2.25,0.0,0,0,3,12,1,0.0,0.0
319,0,0,23.91667,1.2,0.0,0,0,0,15,1,0.0,0.0
320,0,0,28.16667,2.6,0.0,1,0,2,31,1,3.0,0.0
321,0,0,26.33333,1.5,0.0,0,0,0,8,1,0.0,0.0
322,1,0,25.33333,2.1,344.1808,1,0,1,22,1,19.0,0.0
323,1,0,4.416669999999993,3.24,497.7058,1,0,3,25,1,16.0,0.0
324,0,0,36.58333,2.22,0.0,1,0,2,4,1,0.0,0.0
325,0,0,34.83333,4.9,0.0,0,0,2,162,1,3.0,0.0
326,1,0,41.58333,2.3,87.105,1,0,0,42,1,12.0,1.0
327,0,0,28.33333,3.3,0.0,0,0,1,36,1,17.0,0.0
328,0,0,44.58333,2.5,0.0,1,0,2,62,1,18.0,0.0
329,1,0,34.0,2.205,80.86833,1,0,2,4,1,10.0,1.0
330,1,0,35.83333,2.4,143.3467,1,0,0,27,1,18.0,1.0
331,1,0,22.0,2.7,105.2833,0,0,0,15,1,7.0,1.0
332,1,0,34.0,3.7,583.7783,1,1,2,5,1,2.0,0.0
333,0,0,27.66667,2.12,0.0,0,0,0,44,1,10.0,0.0
334,1,0,34.5,6.2,615.7145005,1,0,0,60,1,11.0,0.0
335,1,0,40.33333,2.5,105.9617,0,0,1,24,1,2.0,1.0
336,0,0,24.25,2.0,0.0,0,0,0,52,1,3.0,0.0
337,0,0,30.16667,2.4,0.0,0,1,2,72,1,11.0,0.0
338,1,0,45.0,4.03,137.0717,0,0,0,72,1,2.0,1.0
339,0,0,31.66667,3.0,0.0,0,0,0,12,1,0.0,0.0
340,1,0,24.91667,2.9,0.3125,1,0,0,60,1,8.0,1.0
341,1,0,27.83333,1.99,100.1433,1,0,1,12,1,5.0,1.0
342,1,0,56.91667,1.92,320.6758,1,1,1,64,1,9.0,0.0
343,1,0,34.41667,5.0,615.7145005,1,1,1,108,1,6.0,0.0
344,0,0,32.58333,2.16,0.0,1,0,1,38,1,8.0,0.0
345,1,0,26.58333,2.2,145.6958,0,0,0,30,1,3.0,1.0
346,1,0,20.41667,2.2375,93.91917,0,0,0,27,1,1.0,1.0
347,0,0,40.0,2.4,0.0,0,0,0,72,1,6.0,0.0
348,1,0,40.16667,1.9,167.8267,1,0,3,108,1,17.0,0.0
349,1,0,25.66667,5.5,615.7145005,1,0,1,30,1,13.0,0.0
350,0,0,32.08333,2.16,0.0,0,0,0,42,1,0.0,0.0
351,1,0,26.0,6.634375,615.7145005,0,1,0,13,1,24.5,0.0
352,0,0,36.91667,2.6,0.0,1,0,1,54,1,14.0,0.0
353,0,0,22.66667,2.5,0.0,0,0,0,27,1,0.0,0.0
354,1,0,28.25,3.9,248.9058,0,0,0,48,1,10.0,1.0
355,1,0,49.16667,5.2,71.53,1,0,1,15,1,6.0,1.0
356,1,0,24.16667,3.25,347.9483,0,0,0,12,1,5.0,0.0
357,1,0,32.66667,3.6,4.583333,0,0,0,25,1,2.0,1.0
358,1,0,32.58333,6.634375,615.7145005,1,0,3,7,1,24.5,0.0
359,1,0,36.0,3.7,101.7633,1,0,2,6,1,18.0,1.0
360,1,0,29.25,4.467,424.1767,1,1,0,63,1,5.0,0.0
361,0,0,36.41667,5.2,0.0,1,0,2,12,1,0.0,0.0
362,1,0,22.91667,4.8,232.2758,0,0,2,2,1,4.0,1.0
363,1,0,60.41667000000001,1.5,335.5625,1,0,1,162,1,24.0,0.0
364,1,0,54.41667,1.5,20.18083,0,0,0,24,1,1.0,1.0
365,0,0,25.66667,1.8504,0.0,0,0,0,14,1,0.0,0.0
366,1,0,30.33333,2.45,119.0,0,0,0,8,1,0.0,1.0
367,1,0,27.08333,1.89,69.0325,0,0,0,51,1,12.0,1.0
368,1,0,39.0,3.5,131.6742,1,0,2,113,1,13.0,1.0
369,0,0,24.16667,2.7885,0.0,0,0,0,4,1,0.0,0.0
